Food Name
"Beef, ground, 85% lean, cooked"
"Chicken breast, skinless, roasted"
"Eggs, whole, cooked, hard-boiled"
"Salmon, Atlantic, wild, cooked"
"Lamb, ground, cooked"
"Pork loin, roasted"
"Duck breast, roasted, skinless"
"Bison, ground, cooked"
"Goat meat, cooked"
"Turkey breast, roasted, skinless"
"Quail, cooked"
"Venison, cooked"
"Rabbit, cooked"
"Beef liver, cooked"
"Pork liver, cooked"
"Beef heart, cooked"
"Chicken heart, cooked"
"Chicken gizzards, cooked"
"Duck liver, cooked"
"Tripe (beef stomach), cooked"
"Bone marrow (beef), roasted"
"Oxtail, cooked"
"Chicken feet, boiled"
"Fish roe, cooked"
"Salmon skin, grilled"
"Anchovies, canned in oil, drained"
"Sardines, canned in water, drained"
"Herring, Atlantic, cooked"
"Cod, Pacific, cooked"
"Tuna, skipjack, cooked"
"Crab, cooked"
"Lobster, cooked"
"Mussels, cooked"
"Scallops, cooked"
"Squid, cooked"
"Frog legs, cooked"
"Duck eggs, whole, cooked"
"Quail eggs, whole, cooked"
"Buffalo meat, cooked"
"Rabbit liver, cooked"
"Turkey liver, cooked"
"Chicken skin, cooked"
Beef marrow broth
"Egg yolk, cooked"
"Cow milk, whole, raw"
"Goat milk, raw"
"Sheep milk, raw"
"Kefir, whole milk"
"Greek yogurt, plain, whole milk"
"Cottage cheese, full fat"
"Cheddar cheese, aged"
"Parmesan cheese, aged"
Ghee (clarified butter)
"Butter, unsalted"
Camembert cheese
Feta cheese
"Ricotta cheese, whole milk"
"Mozzarella cheese, whole milk"
Halloumi cheese
"Cream, heavy whipping"
Cream cheese
Blue cheese
Brie cheese
"Goat cheese, soft"
"Sheep cheese, hard"
"Butter, cultured"
Whey protein concentrate
Casein protein (micellar)
"Egg white, cooked"
"Colostrum (bovine, dried)"
"Pig feet, boiled"
"Pork skin, roasted"
"Chicken broth, homemade"
"Lamb shank, roasted"
"Veal chop, cooked"
"Goat meat liver, cooked"
"Beef ribs, roasted"
"Liverwurst (organ blend), quality source"
"Turkey neck, cooked"
"Fish head, cooked (e.g. salmon)"
"Veal liver, cooked"
Beef tallow
"Lamb fat, rendered"
Duck fat
"Goose liver, cooked"
"Fish bones, dried (e.g. anchovy powder)"
Whole sardines (with bones & skin)
"Milk kefir, goat milk base"
"Smoked salmon, wild"
"Beef cheek, braised"
Caviar (sturgeon roe)
"Milk, water buffalo"
"Moose meat, cooked"
"Crocodile meat, cooked"
"Softshell turtle, cooked"
Snail eggs (escargot caviar)
"Reindeer meat, cooked"
"Alligator meat, cooked"
"Pigeon meat, cooked"
"Partridge, cooked"
Duck blood (congealed)
Chicken blood (congealed)
Fish eyes (e.g. salmon)
"Beef testicles (Rocky Mountain oysters), cooked"
"Chicken cartilage, cooked"
"Beef trachea, cooked"
"Lamb brain, cooked"
"Beef spinal cord, cooked"
"Beef lungs, cooked"
"Lamb spleen, cooked"
"Chicken necks, cooked"
"Veal brain, cooked"
"Cow udder, cooked"
"Boar meat, cooked"
"Venison heart, cooked"
"Rabbit kidney, cooked"
Goose fat
"Deer liver, cooked"
"Turkey gizzards, cooked"
"Rabbit heart, cooked"
"Chicken feet, cooked"
"Camel milk, raw"
"Turkey skin, roasted"
Eggshell powder (chicken)
"Beef bone marrow, roasted"
Quail eggshell (powdered)
"Cricket, roasted"
"Mealworms, roasted"
"Silkworm pupae, cooked"
"Beef tongue, cooked"
"Ox tail, stewed"
Blood sausage (traditional)
"Fish roe (general, cooked)"
"Mackerel, Atlantic, cooked"
"Herring, pickled"
"Clams, cooked"
"Shrimp, cooked"
"Crawfish, cooked"
"Snails (escargot), cooked"
"Abalone, cooked"
"Swordfish, cooked"
"Tilapia, cooked"
"Catfish, farmed, cooked"
"Flatfish (flounder), cooked"
"Grouper, cooked"
"Halibut, cooked"
"Sea bass, cooked"
"Perch, cooked"
"Trout, rainbow, cooked"
"Anchovies, canned in oil"
"Pollock, cooked"
"Cod, Atlantic, cooked"
"Cod liver, canned in own oil"
Fish gelatin (powdered)
"Smelt, cooked"
"Whitefish, cooked"
"Haddock, cooked"
"Fish skin (salmon), cooked"
"Fish bones (anchovy), cooked"
"Seaweed-fed fish (wild type, generic)"
"Lard (pork fat), rendered"
Duck egg
Quail egg
Goose egg
Emu egg
"Rabbit fat, rendered"
"Beef suet (raw kidney fat), rendered"
Sheep milk
"Sheep cheese (manchego, aged)"
"Goat cheese (chèvre, fresh)"
Camel hump fat (rendered)
"Whale blubber (muktuk, raw)"
"Seal meat, cooked"
"Bear meat, cooked"
"Boar fat, rendered"
"Goose skin, roasted"
Fish liver oil (generic)
"Fish head, cooked (salmon)"
Crab roe
Clam juice (broth)
"Egg yolk, raw (chicken)"
"Egg white, raw (chicken)"
"Whey protein (concentrate, unsweetened)"
"Casein protein (micellar, unsweetened)"
Buttermilk (cultured)
Goat milk yogurt (plain)
Camel milk yogurt (plain)
"Cow milk yogurt (plain, whole milk)"
Raw cow milk
A2 cow milk (whole)
Fermented mare milk (airag)
"Horse meat, cooked"
Donkey milk
Pig blood (congealed)
Beef blood (liquid)
Ox blood (liquid)
Rabbit blood (liquid)
"Duck fat, rendered"
"Turkey fat, rendered"
"Chicken fat (schmaltz), rendered"
"Fish oil (generic, food grade)"
"Bone broth (beef), reduced"
"Bone broth (chicken), reduced"
"Gelatin (pork), dry powder"
Pork rinds (fried)
Duck broth (reduced)
"Elk meat, cooked"
"Bison liver, cooked"
"Bison meat, cooked"
"Caribou meat, cooked"
"Antelope meat, cooked"
"Ostrich meat, cooked"
"Quail meat, cooked"
"Guinea fowl, cooked"
"Capybara meat, cooked"
"Yak meat, cooked"
"Camel meat, cooked"
"Beef tripe (stomach), cooked"
"Beef brain, cooked"
"Beef thymus (sweetbreads), cooked"
"Beef spleen, cooked"
"Beef pancreas, cooked"
"Beef kidney, cooked"
"Beef esophagus, cooked"
"Beef cartilage (trachea), cooked"
"Duck heart, cooked"
"Duck liver, foie gras (cooked)"
Beef oxtail broth (reduced)
"Goat heart, cooked"
"Goat liver, cooked"
"Sheep liver, cooked"
"Pig heart, cooked"
"Pig liver, cooked"
"Venison liver, cooked"
"Wild boar liver, cooked"
"Beef tendon, cooked"
"Beef cheek, cooked"
"Beef shank, cooked"
"Lamb tongue, cooked"
"Lamb sweetbreads (thymus), cooked"
"Lamb kidney, cooked"
"Lamb testicles, cooked"
"Goat tripe (stomach), cooked"
"Pork uterus, cooked"
"Chicken comb, cooked"
"Chicken gizzard, cooked"
"Chicken liver, cooked"
"Duck gizzard, cooked"
"Duck tongue, cooked"
"Turkey heart, cooked"
"Turkey gizzard, cooked"
"Quail liver, cooked"
"Quail heart, cooked"
"Duck egg yolk, raw"
"Fish roe (salmon), raw"
"Sea cucumber, cooked"
"Conch meat, cooked"
"Octopus, cooked"
"Eel, cooked"
"Snail (escargot), cooked"
"Periwinkle, cooked"
"Whelk, cooked"
"Sea urchin roe (uni), raw"
