Food Name
"amaranth, flour"
"apples, fuji"
"apples, fuji, with skin, raw"
"apples, gala"
"apples, gala, with skin, raw"
"apples, granny smith"
"apples, granny smith, with skin, raw"
"apples, honeycrisp"
"apples, honeycrisp, with skin, raw"
"apples, red delicious"
"apples, red delicious, with skin, raw"
"apricot, with skin, pitted, raw"
"apricot, with skin, raw"
"arugula, baby, raw"
"asparagus, green, whole spear, raw"
"avocado, hass, peeled, pit removed, raw"
"avocado, hass, peeled, raw"
"bananas, overripe"
"bananas, overripe, medium size"
"bananas, overripe, raw"
"bananas, ripe"
"bananas, ripe and slightly ripe, raw"
"bananas, ripe, medium size"
"bananas, slightly ripe"
"bananas, slightly ripe, medium size"
"beans, cannellini, dry"
"beans, chickpeas/garbanzos, dry"
"beans, dry, black (0% moisture)"
"beans, dry, black, 214 (0% moisture)"
"beans, dry, black, 215 (0% moisture)"
"beans, dry, black, 219 (0% moisture)"
"beans, dry, black, 221 (0% moisture)"
"beans, dry, black, 222 (0% moisture)"
"beans, dry, black, 223 (0% moisture)"
"beans, dry, black, 225 (0% moisture)"
"beans, dry, black, 227 (0% moisture)"
"beans, dry, black, 232 (0% moisture)"
"beans, dry, black, 238 (0% moisture)"
"beans, dry, black, 244 (0% moisture)"
"beans, dry, black, 247 (0% moisture)"
"beans, dry, black, 248 (0% moisture)"
"beans, dry, black, 249 (0% moisture)"
"beans, dry, black, 250 (0% moisture)"
"beans, dry, black, 251 (0% moisture)"
"beans, dry, black, 254 (0% moisture)"
"beans, dry, black, 258 (0% moisture)"
"beans, dry, black, 259 (0% moisture)"
"beans, dry, black, 263 (0% moisture)"
"beans, dry, black, 266 (0% moisture)"
"beans, dry, black, 267 (0% moisture)"
"beans, dry, black, 269 (0% moisture)"
"beans, dry, black, 271 (0% moisture)"
"beans, dry, black, 273 (0% moisture)"
"beans, dry, black, 274 (0% moisture)"
"beans, dry, black, 276 (0% moisture)"
"beans, dry, black, 278 (0% moisture)"
"beans, dry, black, 282 (0% moisture)"
"beans, dry, black, 286 (0% moisture)"
"beans, dry, black, 288 (0% moisture)"
"beans, dry, black, 291 (0% moisture)"
"beans, dry, black, 296 (0% moisture)"
"beans, dry, black, 297 (0% moisture)"
"beans, dry, black, 298 (0% moisture)"
"beans, dry, black, 301 (0% moisture)"
"beans, dry, black, 303 (0% moisture)"
"beans, dry, black, 304 (0% moisture)"
"beans, dry, black, 305 (0% moisture)"
"beans, dry, black, 310 (0% moisture)"
"beans, dry, black, 314 (0% moisture)"
"beans, dry, black, 317 (0% moisture)"
"beans, dry, black, 318 (0% moisture)"
"beans, dry, black, 331 (0% moisture)"
"beans, dry, black, 348 (0% moisture)"
"beans, dry, black, 395 (0% moisture)"
"beans, dry, black, 424 (0% moisture)"
"beans, dry, black, 472 (0% moisture)"
"beans, dry, black, 522 (0% moisture)"
"beans, dry, black, 526 (0% moisture)"
"beans, dry, black, 528 (0% moisture)"
"beans, dry, black, 529 (0% moisture)"
"beans, dry, black, 531 (0% moisture)"
"beans, dry, black, 533 (0% moisture)"
"beans, dry, black, 534 (0% moisture)"
"beans, dry, black, 536 (0% moisture)"
"beans, dry, black, 537 (0% moisture)"
